nofinessej;rsej;eml;libeml;noautor;noautorarhgos;noimplarhgos;dateautor;nofinesset;datemeo
930000393;SAS HOP PRIVE EUROPEEN DE PARIS GVM;05701;Caméra à scintillation sans détecteur d'émission de positons;112609783;11-11-1522;11-11-1522;1999-12-30;930300025;2002-06-17
940160013;INSTITUT GUSTAVE ROUSSY;05602;Scanographe à utilisation médicale;112609793;11-11-59713;11-11-59713;2016-06-21;940000664;2017-09-05
940160013;INSTITUT GUSTAVE ROUSSY;05602;Scanographe à utilisation médicale;112609794;11-11-1560;11-11-1560;2006-01-17;940000664;2019-03-25
950001859;TEP PARIS NORD;05705;Tomographe à émissions;112609795;11-11-74063;11-11-74063;2020-10-13;950014068;2023-06-12
950001859;TEP PARIS NORD;05701;Caméra à scintillation sans détecteur d'émission de positons;112609796;11-11-4132;11-11-4132;2005-11-29;950014068;2020-08-19
950001859;TEP PARIS NORD;05701;Caméra à scintillation sans détecteur d'émission de positons;112609797;11-11-2970;11-11-2970;2004-04-20;950014068;2004-04-20
950001859;TEP PARIS NORD;05705;Tomographe à émissions;112609798;11-11-3828;11-11-3828;2008-06-24;950014068;2009-07-20
970100228;C.H.U. DE LA GUADELOUPE;44901;Caisson hyperbare;012609799;01-01-35455;01-01-35455;1976-01-01;970100442;2012-05-03
970211207;CHU DE MARTINIQUE;44901;Caisson hyperbare;022609800;02-02-45507;02-02-45507;2011-06-15;970211215;2011-06-15
970408589;CHU DE LA REUNION;05705;Tomographe à émissions;042609801;04-04-43092;04-04-43092;2012-04-20;970400024;2013-05-01
970408589;CHU DE LA REUNION;05701;Caméra à scintillation sans détecteur d'émission de positons;042609802;04-04-63208;04-04-63208;2009-09-06;970400024;2009-09-07
970408589;CHU DE LA REUNION;05705;Tomographe à émissions;042609804;04-04-77622;04-04-77622;2023-05-30;970400024;2023-11-02
970408589;CHU DE LA REUNION;05701;Caméra à scintillation sans détecteur d'émission de positons;042609805;04-04-35489;04-04-35489;1998-12-30;970400024;1998-12-30
970408589;CHU DE LA REUNION;05701;Caméra à scintillation sans détecteur d'émission de positons;042609806;04-04-35495;04-04-35495;1999-10-29;970400024;1999-10-29
970408589;CHU DE LA REUNION;44901;Caisson hyperbare;042609803;04-04-70741;04-04-70741;2019-04-01;970400057;2023-11-30
970500005;CENTRE HOSPITALIER FRANCOIS DUNAN;05602;Scanographe à utilisation médicale;052609807;75-72-78670;75-72-78670;2015-01-20;970500039;2015-01-21
980500003;CENTRE HOSPITALIER DE MAYOTTE;44901;Caisson hyperbare;062609808;04-06-70576;04-06-70576;2019-03-13;980500011;2019-03-14
980500003;CENTRE HOSPITALIER DE MAYOTTE;05602;Scanographe à utilisation médicale;062609843;06-06-75865;06-06-75865;2021-12-01;980500011;
980500532;CENTRE D'IMAGERIE MEDICALE MAHORAIS;05602;Scanographe à utilisation médicale;062609809;06-06-75333;06-06-75333;2016-06-15;980500540;2016-06-15
980500771;GROUPEMENT INTERET ECOMONIQUE MAYOTTE;06201;Appareil d'IRM à utilisation clinique;062609810;04-06-71062;04-06-71062;2019-03-13;980500789;2019-10-28
980500771;GROUPEMENT INTERET ECOMONIQUE MAYOTTE;06201;Appareil d'IRM à utilisation clinique;062609844;06-06-78742;06-06-78742;2023-03-31;980500789;
